ID;PRODUTO;CATEGORIA;PRECO;CUSTO;CUSTO_DOLAR;PESO_PRODUTO;PESO_CUBICO;ESTOQUE_ATUAL;ESTOQUE_MINIMO;INICIO_OFERTA;FIM_OFERTA;PRECO_OFERTA;MARCA;MODELO;REFERENCIA;GARANTIA;DISPONIBILIDADE;DESC_SIMPLES;VAZIO;ITENS_INCLUSOS;CARACTERISTICAS;MENSAGEM_ADICIONAL;DISPONIVEL;URL_PRODUTO;QUANTIDADE_VENDIDA;IMAGEM;VIDEO;EAN_GTIN_UPC;ALTURA;LARGURA;COMPRIMENTO;DATA_CADASTRO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5;IMAGEM 6;IMAGEM 7;IMAGEM 8;IMAGEM 9;IMAGEM 10;IMAGEM 11;IMAGEM 12;IMAGEM 13;IMAGEM 14;IMAGEM 15;IMAGEM 16;CATEGORIA ADICIONAL 1;CATEGORIA ADICIONAL 2;CÓDIGO CATEGORIA ADICIONAL 1;CÓDIGO CATEGORIA ADICIONAL 2;GÊNERO;IDADE;DATA_ATIVACAO;DATA_DESATIVACAO;GRUPO_IMPOSTO_CODIGO;GRUPO_IMPOSTO_NOME;SELO_DESTAQUE;SELO_LANCAMENTO;SELO_ADICIONAL;SEO_TITULO;SEO_DESCRICAO_SIMPLIFICADA;SEO_PALAVRAS_CHAVES
249;Bermuda Algodão Infantil Estampada Com cinto;Bermudas;10;8;0;160;390;2;0;;;0;Ilha Modas e Utilidades;CASUAL;9415120999;30 dias após o recebimento do produto;Imediata;;;1 Bermuda;gênero: masculino, idade: infantil,;Para o dia a dia e passeio, com bolsos laterais e traseiro.;Não;http://www.ilhamodas.com/menino/bermudas/bermuda-com-bolsos-laterais-e-traseiro-infantil-cores;5;https://images.tcdn.com.br/img/img_prod/786759/bermuda_algodao_infantil_com_cinto_249_1_20200603112135.png;;;2;26;36;15/05/2020 17:03:52;https://images.tcdn.com.br/img/img_prod/786759/bermuda_algodao_infantil_com_cinto_249_1_20200603112135.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_algodao_infantil_com_cinto_249_2_20200603112135.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_com_bolsos_laterais_e_traseiro_infantil_cores_249_3_20200515170354.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_com_bolsos_laterais_e_traseiro_infantil_cores_249_4_20200515170354.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_com_bolsos_laterais_e_traseiro_infantil_cores_249_5_20200515170354.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_com_bolsos_laterais_e_traseiro_infantil_cores_249_6_20200515170355.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_com_bolsos_laterais_e_traseiro_infantil_cores_249_7_20200515170355.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_com_bolsos_laterais_e_traseiro_infantil_cores_249_8_20200515170356.png;;;;;;;;;;;;;masculino;infantil;16/03/2021;19/09/2021;;;Sim;Não;Não;;;
247;Bermuda Sarja Masculina Com bolso lateral e traseiro;Bermudas;24,99;21;0;296;390;5;0;;;0;Ilha Modas e Utilidades;CASUAL;5115119299;30 dias após o recebimento do produto;Imediata;;;1 Bermuda;gênero: masculino, idade: adulto,;Para o dia a dia, excelente para o passeio.;Não;http://www.ilhamodas.com/masculino/bermuda/bermuda-com-bolso-laterais-e-traseiro-cores;2;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_4_20200529112745.png;;;2;26;36;15/05/2020 15:41:07;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_4_20200529112745.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_1_20200529112744.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_2_20200529112745.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_3_20200529112745.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_5_20200529112745.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_6_20200529112746.png;https://images.tcdn.com.br/img/img_prod/786759/bermuda_sarja_com_bolsos_laterais_e_traseiro_247_7_20200529112746.png;;;;;;;;;;MASCULINO;;1;;masculino;adulto;16/03/2021;19/09/2021;;;Não;Não;Não;;;
111;Blusa Feminina Poliéster, Alça Cigana, Estampada;Blusas;20;11;0;115;390;1;0;;;0;Ilha Modas e Utilidades;CASUAL;1115108299;30 dias após o recebimento do produto;Imediata;;;1 blusinha;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, não possui bojo.;Não;http://www.ilhamodas.com/feminino/blusa/blusinha-de-alca-em-seda-cores;1;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_alca_cigana_estampada_111_1_20200707183745.png;;;2;26;36;06/05/2020 18:34:09;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_alca_cigana_estampada_111_1_20200707183745.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_alca_cigana_estampada_111_2_20200707183745.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_alca_cigana_estampada_111_3_20200707183746.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_alca_cigana_estampada_111_4_20200707183746.png;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;19/09/2021;;;Não;Não;Não;;;
123;Blusa Feminina Poliéster, Decote com babado, Cores;Blusas;20;11;0;103;390;3;1;;;0;Ilha Modas e Utilidades;CASUAL;1115118899;30 dias após o recebimento do produto;Imediata;;;1 blusa;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, não possui bojo.;Não;http://www.ilhamodas.com/feminino/blusa/blusinha-de-alca-com-babado-cores;1;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_decote_com_babado_cores_123_1_20200707185058.png;;;2;26;36;07/05/2020 18:01:19;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_decote_com_babado_cores_123_1_20200707185058.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_decote_com_babado_cores_123_2_20200707185059.png;https://images.tcdn.com.br/img/img_prod/786759/blusinha_de_alca_com_babado_cores_123_1_20200523181952.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_decote_com_babado_cores_123_4_20200707185059.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_poliester_decote_com_babado_cores_123_5_20200707185100.png;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;19/09/2021;;;Sim;Não;Não;;;
101;Blusa Feminina Viscolycra, Com bolso, Cores;Blusas;20;8;0;170;390;3;0;;;0;Ilha Modas e Utilidades;CASUAL;1115107799;30 dias após o recebimento do produto;Imediata;;;1 camiseta;gênero: feminino, idade: adulto,;Para passeio e dia a dia, material flexível, confortável, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/camiseta/camiseta-feminina-lisa-cores;0;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_com_bolso_cores_101_1_20200618130114.png;;;2;26;36;06/05/2020 17:05:33;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_com_bolso_cores_101_1_20200618130114.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_lisa_cores_101_1_20200523150410.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_com_bolso_cores_101_3_20200618130115.jpg;;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;05/03/2021;;;Não;Não;Não;;;
87;Blusa Feminina Viscolycra, Decote com detalhe, Cores;Blusas;20;8;0;180;390;4;0;;;0;Ilha Modas e Utilidades;CASUAL;1115107699;30 dias após o recebimento do produto;Imediata;;;1 camiseta;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/camiseta/camiseta-feminina-gola-com-detalhes-cores;1;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_cores_87_1_20200618125850.png;;;2;26;36;06/05/2020 15:28:05;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_cores_87_1_20200618125850.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_cores_87_2_20200618125851.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_cores_87_3_20200618125851.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_cores_87_4_20200618125851.png;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;05/03/2021;;;Sim;Não;Não;;;
107;Blusa Feminina Viscolycra, Decote com detalhe, Estampada;Blusas;20;8;0;172;390;1;0;;;0;Ilha Modas e Utilidades;CASUAL;1115108099;30 dias após o recebimento do produto;Imediata;;;1 camiseta;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/camiseta/camiseta-feminina-botoes-estampas;4;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_estampada_107_1_20200617194627.png;;;2;26;36;06/05/2020 17:50:47;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_estampada_107_1_20200617194627.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_estampada_107_2_20200617194628.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_estampada_107_3_20200617194628.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_estampada_107_4_20200617194628.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_botoes_estampas_107_1_20200523151156.png;;;;;;;;;;;;;;;;feminino;adulto;17/03/2021;19/10/2020;;;Não;Não;Não;;;
103;Blusa Feminina Viscolycra, Decote com detalhe, Listrada;Blusas;20;8;0;175;390;1;0;;;0;Ilha Modas e Utilidades;CASUAL;1115107899;30 dias após o recebimento do produto;Imediata;;;1 camiseta;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/camiseta/camiseta-feminina-listrada-cores;3;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_listrada_103_1_20200618130406.png;;;2;26;36;06/05/2020 17:14:31;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_listrada_103_1_20200618130406.png;https://images.tcdn.com.br/img/img_prod/786759/camiseta_feminina_listrada_cores_103_1_20200523150605.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_listrada_103_3_20200618130406.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_decote_com_detalhe_listrada_103_4_20200618130407.png;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;05/03/2021;;;Não;Não;Não;;;
151;Blusa Feminina Viscolycra, Detalhe com brilho na manga, Cores;Blusas;20;13;0;190;390;1;0;;;0;Ilha Modas e Utilidades;CASUAL;1115110699;30 dias após o recebimento do produto;Imediata;;;1 blusa;gênero: feminino, idade: adulto,;Para passeio e dia a dia, confortável, material flexível, não possui bojo.;Sim;http://www.ilhamodas.com/feminino/blusa/blusa-bordada-detalhe-com-brilho-nas-mangas;0;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_detalhe_com_brilho_na_manga_cores_151_1_20200707185537.png;;;2;26;36;11/05/2020 14:50:19;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_detalhe_com_brilho_na_manga_cores_151_1_20200707185537.png;https://images.tcdn.com.br/img/img_prod/786759/blusa_feminina_viscolycra_detalhe_com_brilho_na_manga_cores_151_2_20200707185537.png;;;;;;;;;;;;;;;;;;;feminino;adulto;16/03/2021;05/03/2021;;;Não;Não;Não;;;
365;Blusa Feminina Viscolycra, Estampa Modinha.;Blusas;10;12;0;170;390;7;0;;;0;Ilha Modas e Utilidades;CASUAL;1112000199;30 dias após o recebimento do produto;Imediata;;;1 camiseta;;Para passeio e dia a dia, material flexível, confortável, não possui bojo.;Não;http://www.ilhamodas.com/feminino/blusas/blusa-feminina-viscolycra-estampa-modinha;0;;;;2;26;36;24/03/2021 15:03:38;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;;;
